ts,token_id,mid,best_bid,best_ask,spread,mid_diff1,mid_diff2,ma3,std3,label
1779791228136,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791229161,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791230091,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791231096,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791232141,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791233090,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791234158,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791235098,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791236087,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791237081,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791238085,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791239194,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791240117,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791241083,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791242165,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791243076,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791244100,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791245087,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791246173,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791247181,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791248103,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791249092,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791250086,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791251078,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791252078,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791253082,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791254102,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791255081,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791256195,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791257114,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791258081,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791259085,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791260088,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791261110,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791262134,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791263081,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791264092,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791265102,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791266126,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791267085,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791268175,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791269110,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791270123,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791271147,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791272080,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791273191,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791274116,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791275143,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791276083,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791277185,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791278105,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791279134,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791280159,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791281169,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791282103,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791283094,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791284111,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791285090,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791286093,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791287121,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791288144,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
